Bus Name,Bus Type,Start Time,End Time,Rating,Total Duration,Price,Seats Available,Route Name,Route Link,State
Samay Shatabdi Travels Pvt Ltd,Bharat Benz A/C Sleeper (2+1),20:00,2:45,4.3,06h 45m,1000,4 Seats available,Kanpur To Bareilly,https://www.redbus.in/bus-tickets/kanpur-to-bareilly,Uttar
Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:30,3:50,2.8,08h 20m,1099,5 Seats available,Kanpur To Bareilly,https://www.redbus.in/bus-tickets/kanpur-to-bareilly,Uttar
UPSRTC - RKD0035,Janrath AC Seater 2+2,11:00,16:30,5,05h 30m,620,34 Seats available,Bareilly To Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow,Uttar
UPSRTC - RKD0031,Janrath AC Seater 2+2,12:00,17:30,3.3,05h 30m,620,35 Seats available,Bareilly To Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow,Uttar
UPSRTC - STD0555,Ordinary Non AC Seater 2+3,12:30,19:24,3.3,06h 54m,429,52 Seats available,Bareilly To Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow,Uttar
UPSRTC - BLY0120,Janrath AC Seater 2+2,13:01,18:30,3.3,05h 29m,620,36 Seats available,Bareilly To Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow,Uttar
UPSRTC - SRG0038,Ordinary Non AC Seater 2+3,14:06,19:40,3.3,05h 34m,429,52 Seats available,Bareilly To Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow,Uttar
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),15:30,23:10,2.8,07h 40m,809,14 Seats available,Dehradun To Bareilly,https://www.redbus.in/bus-tickets/dehradun-to-bareilly,Uttar
Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),17:00,3:00,3.6,10h 00m,1049,9 Seats available,Dehradun To Bareilly,https://www.redbus.in/bus-tickets/dehradun-to-bareilly,Uttar
UPSRTC - KSB0006,Shatabdi AC Seater 2+2,12:00,18:00,2.6,06h 00m,555,35 Seats available,Badaun To Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi,Uttar
UPSRTC - GNA0077,Ordinary Non AC Seater 2+3,12:32,18:02,3.3,05h 30m,367,52 Seats available,Badaun To Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi,Uttar
UPSRTC - SKD0022,Ordinary Non AC Seater 2+3,16:00,23:45,3.3,07h 45m,368,52 Seats available,Badaun To Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi,Uttar
UPSRTC - LNI0352,Ordinary Non AC Seater 2+3,17:10,22:01,3.3,04h 51m,404,52 Seats available,Badaun To Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi,Uttar
UPSRTC - LNI0357,Ordinary Non AC Seater 2+3,17:35,22:25,3.3,04h 50m,368,52 Seats available,Badaun To Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi,Uttar
UPSRTC - BLY0065,Ordinary Non AC Seater 2+3,12:30,17:30,3.3,05h 00m,355,52 Seats available,Agra To Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly,Uttar
UPSRTC - RKD0055,Ordinary Non AC Seater 2+3,13:31,19:31,3.3,06h 00m,355,52 Seats available,Agra To Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly,Uttar
UPSRTC - BLY0070,Ordinary Non AC Seater 2+3,14:00,19:00,3.1,05h 00m,355,52 Seats available,Agra To Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly,Uttar
UPSRTC - AGF0047,Shatabdi AC Seater 2+2,14:01,20:00,2.4,05h 59m,534,39 Seats available,Agra To Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly,Uttar
UPSRTC - BLY0049,Janrath AC Seater 2+3,17:00,22:30,2.1,05h 30m,458,48 Seats available,Agra To Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly,Uttar
Anshi Raj Shree Travels,Bharat Benz A/C Sleeper (2+1),15:00,22:30,3.5,07h 30m,1109,14 Seats available,Ballia To Lucknow,https://www.redbus.in/bus-tickets/ballia-to-lucknow,Uttar
Vinay Travels,A/C Seater / Sleeper (2+2),15:50,23:35,3.6,07h 45m,1340,34 Seats available,Ballia To Lucknow,https://www.redbus.in/bus-tickets/ballia-to-lucknow,Uttar
Shri Rishabh Travels,AC Sleeper (2+1),15:00,23:23,4.8,08h 23m,2190,18 Seats available,Ballia To Lucknow,https://www.redbus.in/bus-tickets/ballia-to-lucknow,Uttar
Krishna Travels,A/C Seater / Sleeper (2+2),14:15,23:40,3.5,09h 25m,1099,44 Seats available,Ballia To Lucknow,https://www.redbus.in/bus-tickets/ballia-to-lucknow,Uttar
UPSRTC - BJR0121,Ordinary Non AC Seater 2+3,11:01,16:45,3.3,05h 44m,416,52 Seats available,Delhi To Kotdwar Uttarakhand,https://www.redbus.in/bus-tickets/delhi-to-kotdwar-uttarakhand,Uttar
UPSRTC - BJR0098,Ordinary Non AC Seater 2+3,11:30,17:30,3.3,06h 00m,379,52 Seats available,Delhi To Kotdwar Uttarakhand,https://www.redbus.in/bus-tickets/delhi-to-kotdwar-uttarakhand,Uttar
UPSRTC - BJR0422,Ordinary Non AC Seater 2+3,12:01,17:31,3.3,05h 30m,375,52 Seats available,Delhi To Kotdwar Uttarakhand,https://www.redbus.in/bus-tickets/delhi-to-kotdwar-uttarakhand,Uttar
UPSRTC - SBD0109,Ordinary Non AC Seater 2+3,12:31,18:30,3.3,05h 59m,416,52 Seats available,Delhi To Kotdwar Uttarakhand,https://www.redbus.in/bus-tickets/delhi-to-kotdwar-uttarakhand,Uttar
UPSRTC - GRH0085,Ordinary Non AC Seater 2+3,13:05,21:00,3.3,07h 55m,404,52 Seats available,Delhi To Kotdwar Uttarakhand,https://www.redbus.in/bus-tickets/delhi-to-kotdwar-uttarakhand,Uttar
RSRTC - 177797,A/C Seater / Sleeper (2+1),21:00,2:30,3.9,05h 30m,891,34 Seats available,Lucknow To Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra,Uttar
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),11:00,15:30,4.6,04h 30m,800,5 Seats available,Lucknow To Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra,Uttar
